Macrophages,Fibroblasts,CD4_T,Unassigned,Plasma,Endothelial,OC,NK_Cells,Pericytes,Normal_Epithelial,Monocytes,Myofibroblasts,Adipocytes,CD8_T,B_Cells,Mast,Mesothelial,Tregs,Smooth_Muscle,BC,EC
,,,,,,,,,PLEKHB1,,,,,,,,,,SPDYC,
,,,,,,,,,MN1,,,,,,,,,,CDYL2,
,,,,,,,,,CCBE1,,,,,,,,,,SYTL2,
,,,,,,,,,ACTA2,,,,,,,,,,AIM2,
,,,,,,,,,DUSP2,,,,,,,,,,IFI27,
,,,,,,,,,TFPI2,,,,,,,,,,MT1A,
,,,,,,,,,RASGRP1,,,,,,,,,,RNASE1,
,,,,,,,,,ZFYVE28,,,,,,,,,,NAPRT,
,,,,,,,,,RNFT1,,,,,,,,,,TBX2,
,,,,,,,,,COL6A2,,,,,,,,,,ZG16B,
,,,,,,,,,APH1B,,,,,,,,,,SEMA5A,
,,,,,,,,,LARGE1,,,,,,,,,,EMP3,
,,,,,,,,,IL20,,,,,,,,,,MUC1,
,,,,,,,,,PRKCG,,,,,,,,,,STMND1,
,,,,,,,,,SPA17,,,,,,,,,,SERINC2,
,,,,,,,,,ID1,,,,,,,,,,SLC39A6,
,,,,,,,,,NPPC,,,,,,,,,,CEACAM6,
,,,,,,,,,PRR9,,,,,,,,,,BASP1,
,,,,,,,,,EMID1,,,,,,,,,,CADM1,
,,,,,,,,,FLI1,,,,,,,,,,MEIOB,
,,,,,,,,,SUGCT,,,,,,,,,,FSTL3,
,,,,,,,,,SAMD11,,,,,,,,,,DEGS2,
,,,,,,,,,ASRGL1,,,,,,,,,,PDZK1,
,,,,,,,,,EGR3,,,,,,,,,,SERPINB4,
,,,,,,,,,IFITM1,,,,,,,,,,GATA3,
,,,,,,,,,SLC14A1,,,,,,,,,,SULF1,
,,,,,,,,,CDKN1A,,,,,,,,,,RGS22,
,,,,,,,,,RNF157,,,,,,,,,,IGSF21,
,,,,,,,,,FES,,,,,,,,,,PYY,
,,,,,,,,,CPM,,,,,,,,,,SCUBE2,
,,,,,,,,,PODXL,,,,,,,,,,EEF1A2,
,,,,,,,,,KCNK6,,,,,,,,,,AREG,
,,,,,,,,,ANXA2R,,,,,,,,,,SLC44A4,
,,,,,,,,,DLK2,,,,,,,,,,BEX3,
,,,,,,,,,OSR1,,,,,,,,,,PRLR,
,,,,,,,,,SYTL3,,,,,,,,,,ADRA2A,
,,,,,,,,,ORAI3,,,,,,,,,,CALB1,
,,,,,,,,,HYDIN,,,,,,,,,,SPANXC,
,,,,,,,,,CIB1,,,,,,,,,,JAKMIP2,
,,,,,,,,,CISH,,,,,,,,,,RELN,
,,,,,,,,,AQP3,,,,,,,,,,CCL2,
,,,,,,,,,HS3ST3A1,,,,,,,,,,CXCL12,
,,,,,,,,,RASSF2,,,,,,,,,,GALNT5,
,,,,,,,,,HIPK1-AS1,,,,,,,,,,GHR,
,,,,,,,,,SLC7A2,,,,,,,,,,CTSD,
,,,,,,,,,NCOA3,,,,,,,,,,ITM2A,
,,,,,,,,,LSAMP,,,,,,,,,,KRT8,
,,,,,,,,,CFI,,,,,,,,,,CXCL13,
,,,,,,,,,CTSS,,,,,,,,,,OLFM1,
,,,,,,,,,IFITM2,,,,,,,,,,LINC01087,
,,,,,,,,,ABHD2,,,,,,,,,,AGR3,
,,,,,,,,,SCD,,,,,,,,,,ARHGAP15,
,,,,,,,,,PMAIP1,,,,,,,,,,CST5,
,,,,,,,,,SLC44A4,,,,,,,,,,HTR3A,
,,,,,,,,,SERPINB9P1,,,,,,,,,,NCAM2,
,,,,,,,,,OBP2B,,,,,,,,,,MYL6,
,,,,,,,,,MED24,,,,,,,,,,CLEC3A,
,,,,,,,,,DGKI,,,,,,,,,,HMOX1,
,,,,,,,,,HOXA7,,,,,,,,,,SELENOM,
,,,,,,,,,UGDH,,,,,,,,,,SPINK5,
,,,,,,,,,CFD,,,,,,,,,,CAVIN2,
,,,,,,,,,ADRA2C,,,,,,,,,,KRT18,
,,,,,,,,,GAST,,,,,,,,,,SPANXB1,
,,,,,,,,,SEMA5A,,,,,,,,,,PIP,
,,,,,,,,,IFITM3,,,,,,,,,,TFF1,
,,,,,,,,,CAPN12,,,,,,,,,,,
,,,,,,,,,NME1,,,,,,,,,,,
,,,,,,,,,FBLN1,,,,,,,,,,,
,,,,,,,,,GALC,,,,,,,,,,,
,,,,,,,,,LYPD1,,,,,,,,,,,
,,,,,,,,,UGT2B7,,,,,,,,,,,
,,,,,,,,,HEY2,,,,,,,,,,,
,,,,,,,,,GLIS3,,,,,,,,,,,
,,,,,,,,,HSPA12A,,,,,,,,,,,
,,,,,,,,,SHISA2,,,,,,,,,,,
,,,,,,,,,OBP2A,,,,,,,,,,,
,,,,,,,,,TSC22D1,,,,,,,,,,,
,,,,,,,,,PLCB1,,,,,,,,,,,
,,,,,,,,,PNMA3,,,,,,,,,,,
,,,,,,,,,CCDC74A,,,,,,,,,,,
,,,,,,,,,MAOB,,,,,,,,,,,
,,,,,,,,,PDLIM4,,,,,,,,,,,
,,,,,,,,,RGCC,,,,,,,,,,,
,,,,,,,,,ATP2A3,,,,,,,,,,,
,,,,,,,,,SPAG8,,,,,,,,,,,
,,,,,,,,,TP53TG1,,,,,,,,,,,
,,,,,,,,,RPS6KB1,,,,,,,,,,,
,,,,,,,,,NRXN3,,,,,,,,,,,
,,,,,,,,,NCF2,,,,,,,,,,,
,,,,,,,,,SYTL2,,,,,,,,,,,
,,,,,,,,,LIN7A,,,,,,,,,,,
,,,,,,,,,PLA2G7,,,,,,,,,,,
,,,,,,,,,SAMD15,,,,,,,,,,,
,,,,,,,,,BAIAP3,,,,,,,,,,,
,,,,,,,,,DDIT4L,,,,,,,,,,,
,,,,,,,,,CYP26A1,,,,,,,,,,,
,,,,,,,,,WIPF1,,,,,,,,,,,
,,,,,,,,,CCDC74B,,,,,,,,,,,
,,,,,,,,,PEBP4,,,,,,,,,,,
,,,,,,,,,SIDT1,,,,,,,,,,,
,,,,,,,,,AQP9,,,,,,,,,,,
,,,,,,,,,DNAH6,,,,,,,,,,,
,,,,,,,,,IRS1,,,,,,,,,,,
,,,,,,,,,RP1,,,,,,,,,,,
,,,,,,,,,SLC39A6,,,,,,,,,,,
,,,,,,,,,SERPINA6,,,,,,,,,,,
,,,,,,,,,SCUBE2,,,,,,,,,,,
,,,,,,,,,UBXN10,,,,,,,,,,,
,,,,,,,,,AGR3,,,,,,,,,,,
,,,,,,,,,CCL3,,,,,,,,,,,
,,,,,,,,,SULF2,,,,,,,,,,,
,,,,,,,,,ACSL6,,,,,,,,,,,
,,,,,,,,,FILIP1L,,,,,,,,,,,
,,,,,,,,,PRSS23,,,,,,,,,,,
,,,,,,,,,TTLL10,,,,,,,,,,,
,,,,,,,,,PDE2A,,,,,,,,,,,
,,,,,,,,,CTHRC1,,,,,,,,,,,
,,,,,,,,,CFAP54,,,,,,,,,,,
,,,,,,,,,CLGN,,,,,,,,,,,
,,,,,,,,,BMP7,,,,,,,,,,,
,,,,,,,,,NECAB1,,,,,,,,,,,
,,,,,,,,,NR2F2,,,,,,,,,,,
,,,,,,,,,GALNT9,,,,,,,,,,,
,,,,,,,,,LRRC74B,,,,,,,,,,,
,,,,,,,,,TRIM37,,,,,,,,,,,
,,,,,,,,,TMEM26,,,,,,,,,,,
,,,,,,,,,PRICKLE2,,,,,,,,,,,
,,,,,,,,,GADD45G,,,,,,,,,,,
,,,,,,,,,CREB3L1,,,,,,,,,,,
,,,,,,,,,SFRP4,,,,,,,,,,,
,,,,,,,,,DNAH7,,,,,,,,,,,
,,,,,,,,,LINC00683,,,,,,,,,,,
,,,,,,,,,CCDC17,,,,,,,,,,,
,,,,,,,,,ALDH1A1,,,,,,,,,,,
,,,,,,,,,AKR1C3,,,,,,,,,,,
,,,,,,,,,CFAP43,,,,,,,,,,,
,,,,,,,,,SAXO2,,,,,,,,,,,
,,,,,,,,,RNASE1,,,,,,,,,,,
,,,,,,,,,SMOC2,,,,,,,,,,,
,,,,,,,,,SPAG17,,,,,,,,,,,
,,,,,,,,,IGSF1,,,,,,,,,,,
,,,,,,,,,LFNG,,,,,,,,,,,
,,,,,,,,,TEKT4,,,,,,,,,,,
,,,,,,,,,DNAH3,,,,,,,,,,,
,,,,,,,,,TUBA3E,,,,,,,,,,,
,,,,,,,,,TNFSF14,,,,,,,,,,,
,,,,,,,,,PCAT19,,,,,,,,,,,
,,,,,,,,,SULF1,,,,,,,,,,,
,,,,,,,,,SOX2,,,,,,,,,,,
,,,,,,,,,C2orf73,,,,,,,,,,,
,,,,,,,,,EGR1,,,,,,,,,,,
,,,,,,,,,NEU4,,,,,,,,,,,
,,,,,,,,,CCDC65,,,,,,,,,,,
,,,,,,,,,DCT,,,,,,,,,,,
,,,,,,,,,CFAP221,,,,,,,,,,,
,,,,,,,,,CATSPERD,,,,,,,,,,,
,,,,,,,,,EPDR1,,,,,,,,,,,
,,,,,,,,,XBP1,,,,,,,,,,,
,,,,,,,,,ADAMTS8,,,,,,,,,,,
,,,,,,,,,LEF1,,,,,,,,,,,
,,,,,,,,,GJA1,,,,,,,,,,,
,,,,,,,,,POMC,,,,,,,,,,,
,,,,,,,,,FBXL7,,,,,,,,,,,
,,,,,,,,,PACRG,,,,,,,,,,,
,,,,,,,,,CD79A,,,,,,,,,,,
,,,,,,,,,NCAM2,,,,,,,,,,,
,,,,,,,,,FBP1,,,,,,,,,,,
,,,,,,,,,ESR1,,,,,,,,,,,
,,,,,,,,,FGF20,,,,,,,,,,,
,,,,,,,,,XG,,,,,,,,,,,
,,,,,,,,,TBX2-AS1,,,,,,,,,,,
,,,,,,,,,ATOH8,,,,,,,,,,,
,,,,,,,,,CYP3A5,,,,,,,,,,,
,,,,,,,,,SYNPO2,,,,,,,,,,,
,,,,,,,,,IGFN1,,,,,,,,,,,
,,,,,,,,,ALDH1L1,,,,,,,,,,,
,,,,,,,,,SRD5A2,,,,,,,,,,,
,,,,,,,,,PRELP,,,,,,,,,,,
,,,,,,,,,CALB1,,,,,,,,,,,
,,,,,,,,,TBX2,,,,,,,,,,,
,,,,,,,,,DYDC2,,,,,,,,,,,
,,,,,,,,,BCHE,,,,,,,,,,,
,,,,,,,,,VCAN,,,,,,,,,,,
,,,,,,,,,ISG20,,,,,,,,,,,
,,,,,,,,,RASL11B,,,,,,,,,,,
,,,,,,,,,PIGR,,,,,,,,,,,
,,,,,,,,,SRARP,,,,,,,,,,,
,,,,,,,,,CACNA1H,,,,,,,,,,,
,,,,,,,,,ENKUR,,,,,,,,,,,
,,,,,,,,,SERPINA1,,,,,,,,,,,
,,,,,,,,,CFAP157,,,,,,,,,,,
,,,,,,,,,PGR,,,,,,,,,,,
,,,,,,,,,LCN12,,,,,,,,,,,
,,,,,,,,,RHOB,,,,,,,,,,,
,,,,,,,,,LRP4,,,,,,,,,,,
,,,,,,,,,ORM1,,,,,,,,,,,
,,,,,,,,,SPATA18,,,,,,,,,,,
,,,,,,,,,RAMP3,,,,,,,,,,,
,,,,,,,,,MUC13,,,,,,,,,,,
,,,,,,,,,LRCOL1,,,,,,,,,,,
,,,,,,,,,ZMYND10,,,,,,,,,,,
,,,,,,,,,FOXJ1,,,,,,,,,,,
,,,,,,,,,IRX4,,,,,,,,,,,
,,,,,,,,,RSPH4A,,,,,,,,,,,
,,,,,,,,,ARHGAP36,,,,,,,,,,,
,,,,,,,,,MUC5AC,,,,,,,,,,,
,,,,,,,,,TSPAN11,,,,,,,,,,,
,,,,,,,,,SLC18A2,,,,,,,,,,,
,,,,,,,,,LINC00052,,,,,,,,,,,
,,,,,,,,,VWA3A,,,,,,,,,,,
,,,,,,,,,TNFSF8,,,,,,,,,,,
,,,,,,,,,EFCAB10,,,,,,,,,,,
,,,,,,,,,LINC01010,,,,,,,,,,,
,,,,,,,,,GPR65,,,,,,,,,,,
,,,,,,,,,WDFY4,,,,,,,,,,,
,,,,,,,,,PSMD6,,,,,,,,,,,
,,,,,,,,,C11orf16,,,,,,,,,,,
,,,,,,,,,SFRP5,,,,,,,,,,,
,,,,,,,,,TUBA3D,,,,,,,,,,,
,,,,,,,,,PCCA,,,,,,,,,,,
,,,,,,,,,FGF19,,,,,,,,,,,
,,,,,,,,,ZNF831,,,,,,,,,,,
,,,,,,,,,PKHD1L1,,,,,,,,,,,
,,,,,,,,,CABCOCO1,,,,,,,,,,,
,,,,,,,,,CFAP126,,,,,,,,,,,
,,,,,,,,,CSF3,,,,,,,,,,,
,,,,,,,,,AGR2,,,,,,,,,,,
,,,,,,,,,SCGB3A1,,,,,,,,,,,
,,,,,,,,,DRC7,,,,,,,,,,,
,,,,,,,,,CAPS,,,,,,,,,,,
,,,,,,,,,TRDC,,,,,,,,,,,
,,,,,,,,,TAC1,,,,,,,,,,,
,,,,,,,,,SLC47A2,,,,,,,,,,,
,,,,,,,,,ADGB,,,,,,,,,,,
,,,,,,,,,ACBD3-AS1,,,,,,,,,,,
,,,,,,,,,EPPIN,,,,,,,,,,,
,,,,,,,,,BCAS3,,,,,,,,,,,
,,,,,,,,,CCL13,,,,,,,,,,,
,,,,,,,,,PTGS2,,,,,,,,,,,
,,,,,,,,,RIIAD1,,,,,,,,,,,
,,,,,,,,,SNTN,,,,,,,,,,,
,,,,,,,,,ADGRG2,,,,,,,,,,,
,,,,,,,,,SRGAP3-AS2,,,,,,,,,,,
,,,,,,,,,GSTA3,,,,,,,,,,,
,,,,,,,,,SPANXB1,,,,,,,,,,,
,,,,,,,,,LGALS3,,,,,,,,,,,
,,,,,,,,,TRH,,,,,,,,,,,
,,,,,,,,,SAT1,,,,,,,,,,,
,,,,,,,,,SPINK13,,,,,,,,,,,
,,,,,,,,,EDN3,,,,,,,,,,,
,,,,,,,,,SPTSSB,,,,,,,,,,,
,,,,,,,,,BTLA,,,,,,,,,,,
,,,,,,,,,WFDC2,,,,,,,,,,,
,,,,,,,,,ECM1,,,,,,,,,,,
,,,,,,,,,KLK2,,,,,,,,,,,
,,,,,,,,,SERPINA5,,,,,,,,,,,
,,,,,,,,,SCGB2A1,,,,,,,,,,,
,,,,,,,,,CXCL14,,,,,,,,,,,
,,,,,,,,,TFF1,,,,,,,,,,,
